URL,Title,Price,Sale,Saving,PDP_Title,PDP_Price,PDP_Sale,PDP_OldPrice,PDP_Saving,availability,usage,stock #,length,width,height,tilt bed,color,gvwr,payload capacity,style,trim color,length overall,PDP_new/used,PDP_availability,PDP_location,PDP_primary color,PDP_stock #,PDP_condition,PDP_gvwr,PDP_height,PDP_length,PDP_payload capacity,PDP_width,PDP_trim color,PDP_hitch type,PDP_number of axles,PDP_tilt bed,PDP_frame,PDP_usage
"('https://www.onestoptrailershop.com/inventory/2026-nitro-6x10-enclosed-cargo-trailers-flat-front-with-rear-ramp-side-door-aluminum-torsion-axle-barrington-nh-03825-13669778i', None)",20266x10 enclosed cargo trailers flat front with rear ramp & side door aluminum torsion axle,"$6,250.00",True,"You Save $1,013.00",2026 Nitro 6x10 enclosed cargo trailers flat front with rear ramp & side door aluminum torsion axle,"6,250.00",True,"Was $7,263.00","Save $1,013.00 now until 11/30/2026",In Stock,New,09535,10,6,6.25,,,,,,,,New,In Stock,One Stop Trailer Shop,pewter,09535,Excellent,2999,"6' 3""","10' 0""",2009,"6' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2026-nitro-6x10-enclosed-cargo-trailer-flat-fornt-with-rear-ramp-torsion-axle-barrington-nh-03825-13669781i', None)",20266X10 ENCLOSED CARGO TRAILER FLAT FORNT WITH REAR RAMP TORSION AXLE,"$6,250.00",True,"You Save $1,013.00",2026 Nitro 6X10 ENCLOSED CARGO TRAILER FLAT FORNT WITH REAR RAMP TORSION AXLE,"6,250.00",True,"Was $7,263.00","Save $1,013.00 now until 11/30/2026",In Stock,New,09536,10,6,6.25,,,,,,,,New,In Stock,One Stop Trailer Shop,charcoal,09536,Excellent,2999,"6' 3""","10' 0""",2009,"6' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2026-legend-trailers-7x16-extra-height-cargo-trailer-torsion-axles-with-black-out-trim-package-and-extra-height-barrington-nh-03825-13669819i', None)",20267x16 extra height cargo trailer torsion axles with black out trim package and extra height,"$9,399.00",True,You Save $850.00,2026 Legend Trailers 7x16 extra height cargo trailer torsion axles with black out trim package and extra height,"9,399.00",True,"Was $10,249.00",Save $850.00 now until 11/30/2026,In Stock,New,15824,,,,,black,7000,4553,,,,New,In Stock,One Stop Trailer Shop,black,15824,Excellent,7000,,,4553,,,,,,,
"('https://www.onestoptrailershop.com/inventory/2026-anvil-trailers-4x6-barn-door-enclosed-cargo-trailer-white-barrington-nh-03825-13669857i', None)",20264X6 Barn door enclosed cargo trailer whiteAnvil Trailers,"$2,799.00",True,You Save $700.00,2026 Anvil Trailers 4X6 Barn door enclosed cargo trailer white,"2,799.00",True,"Was $3,499.00",Save $700.00 now until 11/30/2026,In Stock,New,40627,6,4,4,,,,,,,,New,In Stock,One Stop Trailer Shop,white,40627,Excellent,2200,"4' 0""","6' 0""",1600,"4' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2026-covered-wagon-7x17-cargo-trailer-with-e-trac-extra-heght-barrington-nh-03825-13669870i', None)",20267X17 CARGO TRAILER WITH E TRAC EXTRA HEGHTCovered Wagon,"$8,250.00",True,You Save $949.00,2026 Covered Wagon 7X17 CARGO TRAILER WITH E TRAC EXTRA HEGHT,"8,250.00",True,"Was $9,199.00",Save $949.00 now until 11/30/2026,In Stock,New,106218,16,7,7,,,,,,,,New,In Stock,One Stop Trailer Shop,white,106218,Excellent,,"7' 0""","16' 0""",,"7' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2026-nitro-85x32-aluminum-enclosed-car-hauler-trailer-with-e-trac-barrington-nh-03825-13670521i', None)",20268.5x32 aluminum enclosed car hauler trailer with e tracNitro,"$25,999.00",True,"You Save $1,501.00",2026 Nitro 8.5x32 aluminum enclosed car hauler trailer with e trac,"25,999.00",True,"Was $27,500.00","Save $1,501.00 now until 11/30/2026",In Stock,New,09589,32,8.5,7.5,,,,,,,,New,In Stock,One Stop Trailer Shop,white,09589,Excellent,9999,"7' 6""","32' 0""",6699,"8' 6""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-durabull-trailers-85x20-999lb-gvwr-lauminum-car-hauler-with-black-out-tirm-package-barrington-nh-03825-13382077i', None)",20258.5X20 999LB GVWR LAUMINUM CAR HAULER WITH BLACK OUT TIRM PACKAGE,"$14,999.00",True,"You Save $2,250.00",2025 DuraBull Trailers 8.5X20 999LB GVWR LAUMINUM CAR HAULER WITH BLACK OUT TIRM PACKAGE,"14,999.00",True,"Was $17,249.00","Save $2,250.00 now until 07/31/2026",In Stock,New,00515,20,8.5,6.5,,,,,,,,New,In Stock,One Stop Trailer Shop,Black,00515,Excellent,9990,"6' 6""","20' 0""",9700,"8' 6""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-nitro-5x8-aluminum-utility-trailer-with-aluminum-wheels-barrington-nh-03825-13381917i', None)",20255x8 aluminum utility trailer with aluminum wheelsNitro,"$3,199.00",True,You Save $700.00,2025 Nitro 5x8 aluminum utility trailer with aluminum wheels,"3,199.00",True,"Was $3,899.00",Save $700.00 now until 07/31/2026,In Stock,New,18086,5,8,1.6666666666666665,,,,,,,,New,In Stock,One Stop Trailer Shop,Silver,18086,Excellent,2200,"1' 8""","5' 0""",1785,"8' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-nitro-65x12-aluminum-utility-trailer-with-torsion-axle-barrington-nh-03825-13381932i', None)",20256.5x12 aluminum utility trailer with torsion axleNitro,"$4,199.00",True,You Save $500.00,2025 Nitro 6.5x12 aluminum utility trailer with torsion axle,"4,199.00",True,"Was $4,699.00",Save $500.00 now until 07/31/2026,In Stock,New,09092,12,6.666666666666667,1.5,,,,,,,,New,In Stock,One Stop Trailer Shop,Silver,09092,Excellent,29990,"1' 6""","12' 0""",29490,"6' 8""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-nitro-65x12-aluminum-utility-trailer-with-torsion-axle-barrington-nh-03825-13381933i', None)",20256.5x12 aluminum utility trailer with torsion axleNitro,"$3,999.00",True,You Save $500.00,2025 Nitro 6.5x12 aluminum utility trailer with torsion axle,"3,999.00",True,"Was $4,499.00",Save $500.00 now until 07/31/2026,In Stock,New,09093,12,6.666666666666667,1.5,,,,,,,,New,In Stock,One Stop Trailer Shop,Silver,09093,Excellent,2990,"1' 6""","12' 0""",2490,"6' 8""",,,,,,
